time;receiver;ttc;risk
40501400000;veh_1;9.489626807458333;SAFE
40501900000;veh_2;12.842113130082295;SAFE
41000900000;veh_1;9.267317016492015;SAFE
41001900000;veh_2;13.342001994873664;SAFE
41101900000;veh_0;Infinity;SAFE
41102400000;veh_0;Infinity;SAFE
41102800000;veh_1;9.223048451457887;SAFE
41103800000;veh_2;13.4419797722097;SAFE
41501400000;veh_1;9.046657959451238;SAFE
41502400000;veh_2;13.841890894889286;SAFE
42001900000;veh_1;8.827804617182904;SAFE
42500400000;veh_1;8.610932148887624;SAFE
43000900000;veh_1;8.3962391460795;SAFE
43101900000;veh_0;Infinity;SAFE
43502400000;veh_1;8.183951738894828;SAFE
44000400000;veh_1;7.974328544284564;SAFE
44500400000;veh_1;7.767666715512396;SAFE
45002400000;veh_1;7.564309400876323;SAFE
45101400000;veh_0;Infinity;SAFE
45500400000;veh_1;7.36465499740796;SAFE
46000900000;veh_1;7.169168735395649;SAFE
46501400000;veh_1;6.978397299464174;SAFE
47001400000;veh_1;6.792987458211202;SAFE
47101400000;veh_0;Infinity;SAFE
47501400000;veh_1;6.613710053533518;SAFE
48002400000;veh_1;6.441491215674892;SAFE
48500900000;veh_1;6.277453496632897;SAFE
49000900000;veh_1;6.122970779290001;SAFE
49000900000;veh_3;13.737622519998823;SAFE
49100900000;veh_0;Infinity;SAFE
49102400000;veh_3;13.637646360558085;SAFE
49500400000;veh_3;13.237741981147087;SAFE
49500900000;veh_1;5.979793749763805;SAFE
50001400000;veh_1;5.850015986709722;SAFE
50002400000;veh_3;12.737862134168743;SAFE
50101400000;veh_0;Infinity;SAFE
50101400000;veh_1;5.825894085780088;SAFE
50500400000;veh_3;12.237983063659987;SAFE
50501400000;veh_1;5.736341134162973;SAFE
51001400000;veh_1;5.642253244444062;SAFE
51001900000;veh_3;11.738104869062818;SAFE
51100400000;veh_0;Infinity;SAFE
51101900000;veh_3;11.638129345210626;SAFE
51501400000;veh_1;5.572317210656629;SAFE
51501400000;veh_3;11.238227667092511;SAFE
52000400000;veh_1;5.532631605173478;SAFE
52001900000;veh_3;10.738351596462342;SAFE
52100400000;veh_1;5.529007786720069;SAFE
52102400000;veh_0;Infinity;SAFE
52501900000;veh_3;10.238476822920584;SAFE
52502400000;veh_1;5.531529042684511;SAFE
53000400000;veh_1;5.580697005886082;SAFE
53001400000;veh_3;9.738603545961904;SAFE
53100400000;veh_3;9.638629090732866;SAFE
53102400000;veh_0;Infinity;SAFE
53500400000;veh_1;5.697044681440032;SAFE
53501900000;veh_3;9.238728159126536;SAFE
54002400000;veh_1;5.905963358774542;SAFE
54002400000;veh_3;8.738838808111703;SAFE
54102400000;veh_0;Infinity;SAFE
54102400000;veh_1;5.962007556968644;SAFE
54500900000;veh_3;8.23894945744398;SAFE
54501900000;veh_1;6.2473557299725755;SAFE
55000400000;veh_3;7.7390601070233185;SAFE
55000900000;veh_1;6.7886448627057145;SAFE
55001900000;veh_4;13.737622519998823;SAFE
55100900000;veh_0;Infinity;SAFE
55101400000;veh_3;7.639082236992899;SAFE
55101900000;veh_4;13.637646360558085;SAFE
55500400000;veh_3;7.239170757063328;SAFE
55501400000;veh_4;13.237741981147087;SAFE
55501900000;veh_1;7.649417357508817;SAFE
56000900000;veh_1;9.066822106371497;SAFE
56001400000;veh_4;12.737862134168743;SAFE
56001900000;veh_3;6.739281407446274;SAFE
56100400000;veh_3;6.639303537609617;SAFE
56100900000;veh_0;Infinity;SAFE
56100900000;veh_1;9.455056928928695;SAFE
56101400000;veh_1;9.455056928928695;SAFE
56101400000;veh_4;12.637886254974477;SAFE
56101900000;veh_0;Infinity;SAFE
56500400000;veh_4;12.237983063659987;SAFE
56500900000;veh_3;6.239392058549324;SAFE
56501900000;veh_1;11.58131305545507;SAFE
57000400000;veh_4;11.738104869062818;SAFE
57000900000;veh_1;16.748346231391075;SAFE
57002400000;veh_3;5.7395027103659535;SAFE
57100400000;veh_3;5.639524840782522;SAFE
57101900000;veh_0;Infinity;SAFE
57101900000;veh_4;11.638129345210626;SAFE
57500400000;veh_1;31.006289463935886;SAFE
57501400000;veh_4;11.238227667092511;SAFE
57502400000;veh_3;5.263347593464829;SAFE
58001900000;veh_4;10.738351596462342;SAFE
58002400000;veh_1;121.52238378280359;SAFE
58002400000;veh_3;5.0628681891953455;SAFE
58100400000;veh_0;Infinity;SAFE
58100400000;veh_1;204.04101006023558;SAFE
58101400000;veh_0;Infinity;SAFE
58101900000;veh_1;204.04101006023558;SAFE
58101900000;veh_4;10.638376532174567;SAFE
58102400000;veh_3;5.023425278764373;SAFE
58500400000;veh_1;3263.156492110036;SAFE
58500400000;veh_4;10.238476822920584;SAFE
58501400000;veh_3;4.86769286734792;SAFE
59000900000;veh_1;104417.90723262535;SAFE
59000900000;veh_4;9.738603545961904;SAFE
59001900000;veh_3;4.677974084941716;SAFE
59100900000;veh_0;Infinity;SAFE
59100900000;veh_3;4.640673929708919;SAFE
59102400000;veh_4;9.638629090732866;SAFE
59500400000;veh_1;3341368.622187189;SAFE
59500400000;veh_4;9.238728159126536;SAFE
59500900000;veh_3;4.297227273102972;SAFE
60000900000;veh_3;3.6231497448247145;WARNING
60001900000;veh_4;8.738838808111703;SAFE
60002400000;veh_1;1.069228841995251E8;SAFE
60100900000;veh_0;Infinity;SAFE
60100900000;veh_3;3.4926301436085248;WARNING
60101400000;veh_4;8.638860937977416;SAFE
60101900000;veh_1;2.1384612880949125E8;SAFE
60102400000;veh_1;2.1384612880949125E8;SAFE
60500400000;veh_3;2.983712161003915;WARNING
60500900000;veh_4;8.23894945744398;SAFE
60501400000;veh_1;3.4216001757443404E9;SAFE
61000900000;veh_5;13.737622519998823;SAFE
61001400000;veh_1;1.0832385217454182E11;SAFE
61001900000;veh_3;2.3748862996668865;WARNING
61001900000;veh_4;7.7390601070233185;SAFE
61100900000;veh_3;2.2564870063487255;WARNING
61102400000;veh_0;Infinity;SAFE
61102400000;veh_4;7.639082236992899;SAFE
61102400000;veh_5;13.637646360558085;SAFE
61500400000;veh_4;7.239170757063328;SAFE
61500900000;veh_1;3.4791611870412837E12;SAFE
61500900000;veh_3;1.7933065435977404;CRITICAL
61500900000;veh_5;13.237741981147087;SAFE
62000900000;veh_3;1.23624006884338;CRITICAL
62000900000;veh_5;12.737862134168743;SAFE
62001400000;veh_4;6.739281407446274;SAFE
62002400000;veh_1;7.362153980054556E12;SAFE
62100400000;veh_0;Infinity;SAFE
62100400000;veh_3;1.1275860218435814;CRITICAL
62100400000;veh_5;12.637886254974477;SAFE
62100900000;veh_0;Infinity;SAFE
62100900000;veh_1;7.362153980054556E12;SAFE
62101400000;veh_1;7.362153980054556E12;SAFE
62101400000;veh_4;6.639303537609617;SAFE
62101900000;veh_0;Infinity;SAFE
62101900000;veh_4;6.639303537609617;SAFE
62102400000;veh_1;7.362153980054556E12;SAFE
62102400000;veh_3;1.1275860218435814;CRITICAL
62102400000;veh_5;12.637886254974477;SAFE
62500400000;veh_1;7.362153980054556E12;SAFE
62500900000;veh_3;0.727414738807057;CRITICAL
62500900000;veh_4;6.239392058549324;SAFE
62501900000;veh_5;12.237983063659987;SAFE
63000400000;veh_1;7.362153980054556E12;SAFE
63000400000;veh_4;5.7395027103659535;SAFE
63001400000;veh_3;0.23892416932339977;CRITICAL
63001400000;veh_5;11.738104869062818;SAFE
63100400000;veh_0;Infinity;SAFE
63100400000;veh_4;5.639524840782522;SAFE
63100400000;veh_5;11.638129345210626;SAFE
63102400000;veh_3;0.15067112551027473;CRITICAL
63500400000;veh_1;7.362153980054556E12;SAFE
63500400000;veh_3;0.291990237565016;CRITICAL
63502400000;veh_4;5.261730252746272;SAFE
63502400000;veh_5;11.238227667092511;SAFE
